model,k,n_clusters_observed,silhouette,calinski_harabasz,davies_bouldin,bic,aic,selection_score
kmeans,3,3,0.3314394168321329,65.89151105386046,1.1748291782431624,,,0.3262802761550873
gaussian_mixture,3,3,0.3314394168321329,65.89151105386046,1.1748291782431624,-4003.2428873420067,-5544.68815791929,0.3262802761550873
agglomerative,3,3,0.33101165293654317,65.21078900687378,1.160229615445072,,,0.3259304356827798
kmeans,4,4,0.3007265834628698,66.04331509444876,1.3047610910538614,,,0.29428330406177605
gaussian_mixture,4,4,0.29302112417433374,65.33254804986879,1.3291764094001115,-3636.072580907062,-5692.336486774804,0.2862626148853195
agglomerative,4,4,0.2957065793791683,61.16641233392625,1.3184777954267357,,,0.2886384426582935
kmeans,5,5,0.2602811193142808,59.61150848147157,1.331080237958207,,,0.25293146778284586
gaussian_mixture,5,5,0.20706739816778794,54.53337387955997,1.4724506980635608,-3601.3695162469894,-6172.452057405191,0.19779622857510834
agglomerative,5,5,0.23837969820813915,55.607864557935734,1.4160416835458052,,,0.22978006782847468
kmeans,6,6,0.2472808743181119,54.28867219433519,1.3387666281655743,,,0.2393220752558897
gaussian_mixture,6,6,0.20254683002621482,48.897057016820945,1.3966298441123615,-3115.7072245204163,-6201.6084009690785,0.1934702372867733
agglomerative,6,6,0.22820468301657826,50.14937031872891,1.3587061437795007,,,0.21963255861065614
kmeans,7,7,0.2344227636307212,49.329802043692226,1.4073606105177998,,,0.22528213772991243
gaussian_mixture,7,7,0.20817318119511466,43.82900661882717,1.48296241249956,-2706.067551186412,-6306.787362925534,0.19772645773200176
agglomerative,7,7,0.21952379274561973,46.91204357525885,1.3623737646725327,,,0.21059125945642027
kmeans,8,8,0.22746556555713288,46.70777651211688,1.3821405659674302,,,0.21831493754867026
gaussian_mixture,8,8,0.17804440483790981,42.64031371353051,1.4014693626876504,-1874.402339241533,-5989.940786271114,0.16829374258238639
agglomerative,8,8,0.20392386378245309,44.01785680289583,1.3733893656741474,,,0.19459175580600122
dbscan_diagnostic,1,1,,,,,,-1.1
