full_name,language,recommendation_level,final_potential_score,base_score,personalized_score,preference_match_score,feasibility_match_score,goal_match_score,language_match_score,topic_match_score,hardware_match_score,personalized_risk_penalty,risk_score,cluster_name,match_reasons,risk_warnings,recommended_action,three_day_plan,codex_prompt
agent-lab-00/rag-agent-radar-017,Python,A,64.12541725428048,82.774,91.852,77.123,95.36,92.267,100.0,50.0,100.0,0.0,0.0,新兴爆发潜力型,"[""语言匹配：Python 符合偏好。"", ""复现可行性较好：文档与可行性信号较强。"", ""硬件适配：CPU-only 下更容易启动。""]","[""未发现明显高风险信号，但仍需检查许可证和运行环境。""]",生成 Codex 复现与二次开发任务，先跑通最小 demo。,"[""Day 1: 阅读 agent-lab-00/rag-agent-radar-017 的 README、安装说明和示例，确认 Python/Node/硬件要求。"", ""Day 2: 跑通最小 demo，记录依赖、报错、数据输入与输出截图。"", ""Day 3: 做一个小改造或对比实验，整理复现路线、风险和 Codex 任务清单。""]",请作为 Python/软件工程助教，帮我复现 GitHub 项目 agent-lab-00/rag-agent-radar-017：先梳理依赖和最小运行路径，再生成适合 Windows 11 本地普通电脑的三天复现计划，并标出可能失败的步骤。
agent-lab-14/workflow-agent-radar-099,Python,A,64.83743480418173,83.878,89.968,79.357,97.942,96.571,100.0,0.0,100.0,0.0,0.0,新兴爆发潜力型,"[""语言匹配：Python 符合偏好。"", ""复现可行性较好：文档与可行性信号较强。"", ""硬件适配：CPU-only 下更容易启动。""]","[""未发现明显高风险信号，但仍需检查许可证和运行环境。""]",生成 Codex 复现与二次开发任务，先跑通最小 demo。,"[""Day 1: 阅读 agent-lab-14/workflow-agent-radar-099 的 README、安装说明和示例，确认 Python/Node/硬件要求。"", ""Day 2: 跑通最小 demo，记录依赖、报错、数据输入与输出截图。"", ""Day 3: 做一个小改造或对比实验，整理复现路线、风险和 Codex 任务清单。""]",请作为 Python/软件工程助教，帮我复现 GitHub 项目 agent-lab-14/workflow-agent-radar-099：先梳理依赖和最小运行路径，再生成适合 Windows 11 本地普通电脑的三天复现计划，并标出可能失败的步骤。
agent-lab-04/rag-agent-radar-089,Python,A,61.04121288184838,77.991,89.723,77.358,95.36,92.267,100.0,50.0,100.0,0.0,0.0,新兴爆发潜力型,"[""语言匹配：Python 符合偏好。"", ""复现可行性较好：文档与可行性信号较强。"", ""硬件适配：CPU-only 下更容易启动。""]","[""未发现明显高风险信号，但仍需检查许可证和运行环境。""]",生成 Codex 复现与二次开发任务，先跑通最小 demo。,"[""Day 1: 阅读 agent-lab-04/rag-agent-radar-089 的 README、安装说明和示例，确认 Python/Node/硬件要求。"", ""Day 2: 跑通最小 demo，记录依赖、报错、数据输入与输出截图。"", ""Day 3: 做一个小改造或对比实验，整理复现路线、风险和 Codex 任务清单。""]",请作为 Python/软件工程助教，帮我复现 GitHub 项目 agent-lab-04/rag-agent-radar-089：先梳理依赖和最小运行路径，再生成适合 Windows 11 本地普通电脑的三天复现计划，并标出可能失败的步骤。
agent-lab-08/workflow-agent-radar-059,Python,A,63.102283899269565,81.187,89.715,81.809,100.0,100.0,100.0,0.0,100.0,0.0,0.0,新兴爆发潜力型,"[""语言匹配：Python 符合偏好。"", ""复现可行性较好：文档与可行性信号较强。"", ""硬件适配：CPU-only 下更容易启动。""]","[""未发现明显高风险信号，但仍需检查许可证和运行环境。""]",生成 Codex 复现与二次开发任务，先跑通最小 demo。,"[""Day 1: 阅读 agent-lab-08/workflow-agent-radar-059 的 README、安装说明和示例，确认 Python/Node/硬件要求。"", ""Day 2: 跑通最小 demo，记录依赖、报错、数据输入与输出截图。"", ""Day 3: 做一个小改造或对比实验，整理复现路线、风险和 Codex 任务清单。""]",请作为 Python/软件工程助教，帮我复现 GitHub 项目 agent-lab-08/workflow-agent-radar-059：先梳理依赖和最小运行路径，再生成适合 Windows 11 本地普通电脑的三天复现计划，并标出可能失败的步骤。
agent-lab-15/coding-agent-radar-032,Python,B,59.40476131178679,75.452,88.78,76.274,96.248,93.747,100.0,50.0,100.0,0.0,0.0,新兴爆发潜力型,"[""语言匹配：Python 符合偏好。"", ""复现可行性较好：文档与可行性信号较强。"", ""硬件适配：CPU-only 下更容易启动。""]","[""未发现明显高风险信号，但仍需检查许可证和运行环境。""]",生成 Codex 复现与二次开发任务，先跑通最小 demo。,"[""Day 1: 阅读 agent-lab-15/coding-agent-radar-032 的 README、安装说明和示例，确认 Python/Node/硬件要求。"", ""Day 2: 跑通最小 demo，记录依赖、报错、数据输入与输出截图。"", ""Day 3: 做一个小改造或对比实验，整理复现路线、风险和 Codex 任务清单。""]",请作为 Python/软件工程助教，帮我复现 GitHub 项目 agent-lab-15/coding-agent-radar-032：先梳理依赖和最小运行路径，再生成适合 Windows 11 本地普通电脑的三天复现计划，并标出可能失败的步骤。
agent-lab-04/coding-agent-radar-072,Python,A,62.1223749941633,79.667,88.772,74.425,91.286,85.476,100.0,50.0,100.0,0.0,0.0,高热度成熟型,"[""语言匹配：Python 符合偏好。"", ""复现可行性较好：文档与可行性信号较强。"", ""硬件适配：CPU-only 下更容易启动。""]","[""未发现明显高风险信号，但仍需检查许可证和运行环境。""]",生成 Codex 复现与二次开发任务，先跑通最小 demo。,"[""Day 1: 阅读 agent-lab-04/coding-agent-radar-072 的 README、安装说明和示例，确认 Python/Node/硬件要求。"", ""Day 2: 跑通最小 demo，记录依赖、报错、数据输入与输出截图。"", ""Day 3: 做一个小改造或对比实验，整理复现路线、风险和 Codex 任务清单。""]",请作为 Python/软件工程助教，帮我复现 GitHub 项目 agent-lab-04/coding-agent-radar-072：先梳理依赖和最小运行路径，再生成适合 Windows 11 本地普通电脑的三天复现计划，并标出可能失败的步骤。
agent-lab-06/rag-agent-radar-057,Python,B,59.49435094333838,75.591,88.519,76.111,95.36,92.267,100.0,50.0,100.0,0.0,0.0,新兴爆发潜力型,"[""语言匹配：Python 符合偏好。"", ""复现可行性较好：文档与可行性信号较强。"", ""硬件适配：CPU-only 下更容易启动。""]","[""未发现明显高风险信号，但仍需检查许可证和运行环境。""]",生成 Codex 复现与二次开发任务，先跑通最小 demo。,"[""Day 1: 阅读 agent-lab-06/rag-agent-radar-057 的 README、安装说明和示例，确认 Python/Node/硬件要求。"", ""Day 2: 跑通最小 demo，记录依赖、报错、数据输入与输出截图。"", ""Day 3: 做一个小改造或对比实验，整理复现路线、风险和 Codex 任务清单。""]",请作为 Python/软件工程助教，帮我复现 GitHub 项目 agent-lab-06/rag-agent-radar-057：先梳理依赖和最小运行路径，再生成适合 Windows 11 本地普通电脑的三天复现计划，并标出可能失败的步骤。
agent-lab-01/rag-agent-radar-137,Python,B,60.04786012291599,76.45,88.476,75.871,94.19,90.317,100.0,50.0,100.0,0.0,0.0,新兴爆发潜力型,"[""语言匹配：Python 符合偏好。"", ""复现可行性较好：文档与可行性信号较强。"", ""硬件适配：CPU-only 下更容易启动。""]","[""未发现明显高风险信号，但仍需检查许可证和运行环境。""]",生成 Codex 复现与二次开发任务，先跑通最小 demo。,"[""Day 1: 阅读 agent-lab-01/rag-agent-radar-137 的 README、安装说明和示例，确认 Python/Node/硬件要求。"", ""Day 2: 跑通最小 demo，记录依赖、报错、数据输入与输出截图。"", ""Day 3: 做一个小改造或对比实验，整理复现路线、风险和 Codex 任务清单。""]",请作为 Python/软件工程助教，帮我复现 GitHub 项目 agent-lab-01/rag-agent-radar-137：先梳理依赖和最小运行路径，再生成适合 Windows 11 本地普通电脑的三天复现计划，并标出可能失败的步骤。
agent-lab-11/workflow-agent-radar-147,Python,A,62.802009917668734,80.722,87.716,78.175,95.885,93.141,100.0,0.0,100.0,0.0,0.0,新兴爆发潜力型,"[""语言匹配：Python 符合偏好。"", ""复现可行性较好：文档与可行性信号较强。"", ""硬件适配：CPU-only 下更容易启动。""]","[""未发现明显高风险信号，但仍需检查许可证和运行环境。""]",生成 Codex 复现与二次开发任务，先跑通最小 demo。,"[""Day 1: 阅读 agent-lab-11/workflow-agent-radar-147 的 README、安装说明和示例，确认 Python/Node/硬件要求。"", ""Day 2: 跑通最小 demo，记录依赖、报错、数据输入与输出截图。"", ""Day 3: 做一个小改造或对比实验，整理复现路线、风险和 Codex 任务清单。""]",请作为 Python/软件工程助教，帮我复现 GitHub 项目 agent-lab-11/workflow-agent-radar-147：先梳理依赖和最小运行路径，再生成适合 Windows 11 本地普通电脑的三天复现计划，并标出可能失败的步骤。
agent-lab-01/coding-agent-radar-120,Python,A,75.23202705697065,100.0,87.605,80.267,65.706,69.51,100.0,50.0,53.0,0.0,0.0,高热度成熟型,"[""语言匹配：Python 符合偏好。"", ""复现可行性较好：文档与可行性信号较强。""]","[""未发现明显高风险信号，但仍需检查许可证和运行环境。""]",生成 Codex 复现与二次开发任务，先跑通最小 demo。,"[""Day 1: 阅读 agent-lab-01/coding-agent-radar-120 的 README、安装说明和示例，确认 Python/Node/硬件要求。"", ""Day 2: 跑通最小 demo，记录依赖、报错、数据输入与输出截图。"", ""Day 3: 做一个小改造或对比实验，整理复现路线、风险和 Codex 任务清单。""]",请作为 Python/软件工程助教，帮我复现 GitHub 项目 agent-lab-01/coding-agent-radar-120：先梳理依赖和最小运行路径，再生成适合 Windows 11 本地普通电脑的三天复现计划，并标出可能失败的步骤。
